matricula,grupo,tipo,anio_matriculacion,antiguedad_anios,norma_emisiones,km_anuales_previstos,consumo_l_100km,frigorifico
RN-SEV-R019,D,rigido,2019,6,Euro 6,55000,30.0,False
RN-SEV-R020,D,rigido,2019,6,Euro 6,55000,30.0,False
RN-SEV-R021,D,rigido,2016,9,Euro 6,55000,30.0,False
RN-SEV-R022,D,rigido,2019,6,Euro 6,55000,30.0,False
RN-SEV-R023,D,rigido,2016,9,Euro 6,55000,30.0,False
RN-SEV-R024,D,rigido,2013,12,Euro 5,55000,30.0,False
RN-SEV-R025,D,rigido,2019,6,Euro 6,55000,30.0,False
RN-SEV-R026,D,rigido,2016,9,Euro 6,55000,30.0,False
RN-SEV-R027,D,rigido,2017,8,Euro 6,55000,30.0,False
RN-SEV-R028,D,rigido,2013,12,Euro 5,55000,30.0,False
RN-SEV-R029,D,rigido,2015,10,Euro 5,55000,30.0,False
RN-SEV-R030,D,rigido,2017,8,Euro 6,55000,30.0,False
RN-SEV-R031,D,rigido,2015,10,Euro 5,55000,30.0,False
RN-SEV-R032,D,rigido,2015,10,Euro 5,55000,30.0,False
RN-SEV-R033,D,rigido,2017,8,Euro 6,55000,30.0,False
RN-SEV-R034,D,rigido,2015,10,Euro 5,55000,30.0,False
RN-SEV-R035,D,rigido,2017,8,Euro 6,55000,30.0,False
RN-SEV-R036,D,rigido,2015,10,Euro 5,55000,30.0,False
RN-SEV-R037,D,rigido,2021,4,Euro 6d,55000,30.0,False
RN-SEV-R038,D,rigido,2018,7,Euro 6,55000,30.0,False
RN-SEV-R039,D,rigido,2014,11,Euro 5,55000,30.0,False
RN-SEV-R040,D,rigido,2016,9,Euro 6,55000,30.0,False
RN-SEV-R041,D,rigido,2017,8,Euro 6,55000,30.0,False
RN-SEV-R042,D,rigido,2016,9,Euro 6,55000,30.0,False
RN-SEV-R043,D,rigido,2016,9,Euro 6,55000,30.0,False
RN-SEV-R044,D,rigido,2015,10,Euro 5,55000,30.0,False
RN-SEV-R045,D,rigido,2016,9,Euro 6,55000,30.0,False
RN-SEV-R046,D,rigido,2016,9,Euro 6,55000,30.0,False
RN-SEV-R047,D,rigido,2017,8,Euro 6,55000,30.0,False
RN-SEV-R048,D,rigido,2018,7,Euro 6,55000,30.0,False
RN-BIO-F001,E,furgoneta,2021,4,Euro 6d,24000,9.2,False
RN-BIO-F002,E,furgoneta,2022,3,Euro 6d,24000,9.2,False
RN-BIO-F003,E,furgoneta,2022,3,Euro 6d,24000,9.2,False
RN-BIO-F004,E,furgoneta,2022,3,Euro 6d,24000,9.2,False
RN-BIO-F005,E,furgoneta,2024,1,Euro 6d,24000,9.2,False
RN-BIO-F006,E,furgoneta,2022,3,Euro 6d,24000,9.2,False
RN-BIO-F007,E,furgoneta,2022,3,Euro 6d,24000,9.2,False
RN-BIO-F008,E,furgoneta,2024,1,Euro 6d,24000,9.2,False
RN-BIO-F009,E,furgoneta,2023,2,Euro 6d,24000,9.2,False
RN-BIO-F010,E,furgoneta,2019,6,Euro 6,24000,9.2,False
RN-BIO-F011,E,furgoneta,2019,6,Euro 6,24000,9.2,False
RN-BIO-F012,E,furgoneta,2018,7,Euro 6,24000,9.2,False
RN-BIO-F013,E,furgoneta,2022,3,Euro 6d,24000,9.2,False
RN-BIO-F014,E,furgoneta,2021,4,Euro 6d,24000,9.2,False
RN-BIO-F015,E,furgoneta,2019,6,Euro 6,24000,9.2,False
RN-BIO-F016,E,furgoneta,2019,6,Euro 6,24000,9.2,False
RN-BIO-F017,E,furgoneta,2025,0,Euro 6d,24000,9.2,False
RN-BIO-F018,E,furgoneta,2023,2,Euro 6d,24000,9.2,False
RN-BIO-F019,E,furgoneta,2025,0,Euro 6d,24000,9.2,False
RN-BIO-F020,E,furgoneta,2022,3,Euro 6d,24000,9.2,False
RN-BIO-F021,E,furgoneta,2021,4,Euro 6d,24000,9.2,False
RN-BIO-F022,E,furgoneta,2022,3,Euro 6d,24000,9.2,False
RN-BIO-F023,E,furgoneta,2019,6,Euro 6,24000,9.2,False
RN-BIO-F024,E,furgoneta,2020,5,Euro 6,24000,9.2,False
RN-BIO-F025,E,furgoneta,2020,5,Euro 6,24000,9.2,False
RN-BIO-F026,E,furgoneta,2024,1,Euro 6d,24000,9.2,False
RN-BIO-F027,E,furgoneta,2025,0,Euro 6d,24000,9.2,False
RN-BIO-F028,E,furgoneta,2022,3,Euro 6d,24000,9.2,False
RN-BIO-F029,E,furgoneta,2025,0,Euro 6d,24000,9.2,False
RN-BIO-F030,E,furgoneta,2022,3,Euro 6d,24000,9.2,False
RN-BIO-F031,E,furgoneta,2025,0,Euro 6d,24000,9.2,False
RN-BIO-F032,E,furgoneta,2022,3,Euro 6d,24000,9.2,False
RN-BIO-R001,E,rigido,2022,3,Euro 6d,45000,26.0,False
RN-BIO-R002,E,rigido,2020,5,Euro 6,45000,26.0,False
RN-BIO-R003,E,rigido,2022,3,Euro 6d,45000,26.0,False
RN-BIO-R004,E,rigido,2022,3,Euro 6d,45000,26.0,False
RN-BIO-R005,E,rigido,2022,3,Euro 6d,45000,26.0,False
RN-BIO-R006,E,rigido,2019,6,Euro 6,45000,26.0,False
RN-BIO-R007,E,rigido,2025,0,Euro 6d,45000,26.0,False
RN-BIO-R008,E,rigido,2020,5,Euro 6,45000,26.0,False
RN-BIO-R009,E,rigido,2020,5,Euro 6,45000,26.0,False
RN-BIO-R010,E,rigido,2020,5,Euro 6,45000,26.0,False
RN-BIO-R011,E,rigido,2024,1,Euro 6d,45000,26.0,False
RN-BIO-R012,E,rigido,2020,5,Euro 6,45000,26.0,False
RN-BIO-R013,E,rigido,2022,3,Euro 6d,45000,26.0,False
RN-BIO-R014,E,rigido,2022,3,Euro 6d,45000,26.0,False
RN-BIO-R015,E,rigido,2023,2,Euro 6d,45000,26.0,False
RN-BIO-R016,E,rigido,2024,1,Euro 6d,45000,26.0,False
RN-BIO-R017,E,rigido,2025,0,Euro 6d,45000,26.0,False
RN-BIO-R018,E,rigido,2025,0,Euro 6d,45000,26.0,False
RN-BIO-R019,E,rigido,2023,2,Euro 6d,45000,26.0,False
RN-BIO-R020,E,rigido,2023,2,Euro 6d,45000,26.0,False
